COUNTY_CODE,STATENAME,COUNTY,MA_REGION_CODE,MA_REGION,PDP_REGION_CODE,PDP_REGION
,U.S. Virgin Islands, ,., ,39,U.S. Virgin Islands
01000,Alabama,AUTAUGA,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01010,Alabama,BALDWIN,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01020,Alabama,BARBOUR,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01030,Alabama,BIBB,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01040,Alabama,BLOUNT,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01050,Alabama,BULLOCK,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01060,Alabama,BUTLER,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01070,Alabama,CALHOUN,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01080,Alabama,CHAMBERS,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01090,Alabama,CHEROKEE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01100,Alabama,CHILTON,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01110,Alabama,CHOCTAW,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01120,Alabama,CLARKE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01130,Alabama,CLAY,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01140,Alabama,CLEBURNE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01150,Alabama,COFFEE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01160,Alabama,COLBERT,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01170,Alabama,CONECUH,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01180,Alabama,COOSA,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01190,Alabama,COVINGTON,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01200,Alabama,CRENSHAW,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01210,Alabama,CULLMAN,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01220,Alabama,DALE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01230,Alabama,DALLAS,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01240,Alabama,DE KALB,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01250,Alabama,ELMORE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01260,Alabama,ESCAMBIA,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01270,Alabama,ETOWAH,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01280,Alabama,FAYETTE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01290,Alabama,FRANKLIN,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01300,Alabama,GENEVA,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01310,Alabama,GREENE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01320,Alabama,HALE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01330,Alabama,HENRY,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01340,Alabama,HOUSTON,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01350,Alabama,JACKSON,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01360,Alabama,JEFFERSON,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01370,Alabama,LAMAR,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01380,Alabama,LAUDERDALE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01390,Alabama,LAWRENCE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01400,Alabama,LEE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01410,Alabama,LIMESTONE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01420,Alabama,LOWNDES,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01430,Alabama,MACON,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01440,Alabama,MADISON,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01450,Alabama,MARENGO,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01460,Alabama,MARION,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01470,Alabama,MARSHALL,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01480,Alabama,MOBILE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01490,Alabama,MONROE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01500,Alabama,MONTGOMERY,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01510,Alabama,MORGAN,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01520,Alabama,PERRY,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01530,Alabama,PICKENS,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01540,Alabama,PIKE,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01550,Alabama,RANDOLPH,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01560,Alabama,RUSSELL,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01570,Alabama,SAINT CLAIR,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01580,Alabama,SHELBY,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01590,Alabama,SUMTER,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01600,Alabama,TALLADEGA,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01610,Alabama,TALLAPOOSA,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01620,Alabama,TUSCALOOSA,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01630,Alabama,WALKER,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01640,Alabama,WASHINGTON,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01650,Alabama,WILCOX,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01660,Alabama,WINSTON,10,Alabama and Tennessee,12,"Alabama, Tennessee"
01999,Alabama, ,10,Alabama and Tennessee,12,"Alabama, Tennessee"
02013,Alaska,ALEUTIANS EAST,26,Alaska,34,Alaska
02016,Alaska,ALEUTIANS WEST,26,Alaska,34,Alaska
02020,Alaska,ANCHORAGE,26,Alaska,34,Alaska
02050,Alaska,BETHEL,26,Alaska,34,Alaska
02060,Alaska,BRISTOL BAY,26,Alaska,34,Alaska
02068,Alaska,DENALI,26,Alaska,34,Alaska
02070,Alaska,DILLINGHAM,26,Alaska,34,Alaska
02090,Alaska,FAIRBANKS NORTH STAR,26,Alaska,34,Alaska
02100,Alaska,HAINES,26,Alaska,34,Alaska
02105,Alaska,HOONAH ANGOON,26,Alaska,34,Alaska
02110,Alaska,JUNEAU,26,Alaska,34,Alaska
02122,Alaska,KENAI PENINSULA,26,Alaska,34,Alaska
02130,Alaska,KETCHIKAN GATEWAY,26,Alaska,34,Alaska
02150,Alaska,KODIAK ISLAND,26,Alaska,34,Alaska
02164,Alaska,LAKE AND PENINSULA,26,Alaska,34,Alaska
02170,Alaska,MATANUSKA SUSITNA,26,Alaska,34,Alaska
02180,Alaska,NOME,26,Alaska,34,Alaska
02185,Alaska,NORTH SLOPE,26,Alaska,34,Alaska
02188,Alaska,NORTHWEST ARCTIC,26,Alaska,34,Alaska
02195,Alaska,PETERSBURG,26,Alaska,34,Alaska
02198,Alaska,PRINCE OF WALES HYDER,26,Alaska,34,Alaska
02220,Alaska,SITKA,26,Alaska,34,Alaska
02230,Alaska,SKAGWAY,26,Alaska,34,Alaska
02240,Alaska,SOUTHEAST FAIRBANKS,26,Alaska,34,Alaska
02261,Alaska,VALDEZ CORDOVA,26,Alaska,34,Alaska
02270,Alaska, ,26,Alaska,34,Alaska
02275,Alaska,WRANGELL,26,Alaska,34,Alaska
02282,Alaska,YAKUTAT,26,Alaska,34,Alaska
02290,Alaska,YUKON KOYUKUK,26,Alaska,34,Alaska
02999,Alaska, ,26,Alaska,34,Alaska
03000,Arizona,APACHE,21,Arizona,28,Arizona
03010,Arizona,COCHISE,21,Arizona,28,Arizona
03020,Arizona,COCONINO,21,Arizona,28,Arizona
03030,Arizona,GILA,21,Arizona,28,Arizona
03040,Arizona,GRAHAM,21,Arizona,28,Arizona
03050,Arizona,GREENLEE,21,Arizona,28,Arizona
03055,Arizona,LA PAZ,21,Arizona,28,Arizona
03060,Arizona,MARICOPA,21,Arizona,28,Arizona
03070,Arizona,MOHAVE,21,Arizona,28,Arizona
03080,Arizona,NAVAJO,21,Arizona,28,Arizona
03090,Arizona,PIMA,21,Arizona,28,Arizona
03100,Arizona,PINAL,21,Arizona,28,Arizona
03110,Arizona,SANTA CRUZ,21,Arizona,28,Arizona
03120,Arizona,YAVAPAI,21,Arizona,28,Arizona
03130,Arizona,YUMA,21,Arizona,28,Arizona
03999,Arizona, ,21,Arizona,28,Arizona
04000,Arkansas,ARKANSAS,15,Arkansas and Missouri,19,Arkansas
04010,Arkansas,ASHLEY,15,Arkansas and Missouri,19,Arkansas
04020,Arkansas,BAXTER,15,Arkansas and Missouri,19,Arkansas
04030,Arkansas,BENTON,15,Arkansas and Missouri,19,Arkansas
04040,Arkansas,BOONE,15,Arkansas and Missouri,19,Arkansas
04050,Arkansas,BRADLEY,15,Arkansas and Missouri,19,Arkansas
04060,Arkansas,CALHOUN,15,Arkansas and Missouri,19,Arkansas
04070,Arkansas,CARROLL,15,Arkansas and Missouri,19,Arkansas
04080,Arkansas,CHICOT,15,Arkansas and Missouri,19,Arkansas
04090,Arkansas,CLARK,15,Arkansas and Missouri,19,Arkansas
04100,Arkansas,CLAY,15,Arkansas and Missouri,19,Arkansas
04110,Arkansas,CLEBURNE,15,Arkansas and Missouri,19,Arkansas
04120,Arkansas,CLEVELAND,15,Arkansas and Missouri,19,Arkansas
04130,Arkansas,COLUMBIA,15,Arkansas and Missouri,19,Arkansas
04140,Arkansas,CONWAY,15,Arkansas and Missouri,19,Arkansas
04150,Arkansas,CRAIGHEAD,15,Arkansas and Missouri,19,Arkansas
04160,Arkansas,CRAWFORD,15,Arkansas and Missouri,19,Arkansas
04170,Arkansas,CRITTENDEN,15,Arkansas and Missouri,19,Arkansas
04180,Arkansas,CROSS,15,Arkansas and Missouri,19,Arkansas
04190,Arkansas,DALLAS,15,Arkansas and Missouri,19,Arkansas
04200,Arkansas,DESHA,15,Arkansas and Missouri,19,Arkansas
04210,Arkansas,DREW,15,Arkansas and Missouri,19,Arkansas
04220,Arkansas,FAULKNER,15,Arkansas and Missouri,19,Arkansas
04230,Arkansas,FRANKLIN,15,Arkansas and Missouri,19,Arkansas
04240,Arkansas,FULTON,15,Arkansas and Missouri,19,Arkansas
04250,Arkansas,GARLAND,15,Arkansas and Missouri,19,Arkansas
04260,Arkansas,GRANT,15,Arkansas and Missouri,19,Arkansas
04270,Arkansas,GREENE,15,Arkansas and Missouri,19,Arkansas
04280,Arkansas,HEMPSTEAD,15,Arkansas and Missouri,19,Arkansas
04290,Arkansas,HOT SPRING,15,Arkansas and Missouri,19,Arkansas
04300,Arkansas,HOWARD,15,Arkansas and Missouri,19,Arkansas
04310,Arkansas,INDEPENDENCE,15,Arkansas and Missouri,19,Arkansas
04320,Arkansas,IZARD,15,Arkansas and Missouri,19,Arkansas
04330,Arkansas,JACKSON,15,Arkansas and Missouri,19,Arkansas
04340,Arkansas,JEFFERSON,15,Arkansas and Missouri,19,Arkansas
04350,Arkansas,JOHNSON,15,Arkansas and Missouri,19,Arkansas
04360,Arkansas,LAFAYETTE,15,Arkansas and Missouri,19,Arkansas
04370,Arkansas,LAWRENCE,15,Arkansas and Missouri,19,Arkansas
04380,Arkansas,LEE,15,Arkansas and Missouri,19,Arkansas
04390,Arkansas,LINCOLN,15,Arkansas and Missouri,19,Arkansas
04400,Arkansas,LITTLE RIVER,15,Arkansas and Missouri,19,Arkansas
04410,Arkansas,LOGAN,15,Arkansas and Missouri,19,Arkansas
04420,Arkansas,LONOKE,15,Arkansas and Missouri,19,Arkansas
04430,Arkansas,MADISON,15,Arkansas and Missouri,19,Arkansas
04440,Arkansas,MARION,15,Arkansas and Missouri,19,Arkansas
04450,Arkansas,MILLER,15,Arkansas and Missouri,19,Arkansas
04460,Arkansas,MISSISSIPPI,15,Arkansas and Missouri,19,Arkansas
04470,Arkansas,MONROE,15,Arkansas and Missouri,19,Arkansas
04480,Arkansas,MONTGOMERY,15,Arkansas and Missouri,19,Arkansas
04490,Arkansas,NEVADA,15,Arkansas and Missouri,19,Arkansas
04500,Arkansas,NEWTON,15,Arkansas and Missouri,19,Arkansas
04510,Arkansas,OUACHITA,15,Arkansas and Missouri,19,Arkansas
04520,Arkansas,PERRY,15,Arkansas and Missouri,19,Arkansas
