"""ZIPCODE"""," ""LATITUDE"""," ""LONGITUDE"""," ""CITY"""," ""STATE""","""STATENAME"""," ""COUNTY"""," ""ZIPCLASS"""
00501,40.922326,-72.637078,HOLTSVILLE,NY,New York,SUFFOLK,UNIQUE
00544,40.922326,-72.637078,HOLTSVILLE,NY,New York,SUFFOLK,UNIQUE
00601,18.165273,-66.722583,ADJUNTAS,PR,Puerto Rico,ADJUNTAS,STANDARD
00602,18.393103,-67.180953,AGUADA,PR,Puerto Rico,AGUADA,STANDARD
00603,18.455913,-67.14578,AGUADILLA,PR,Puerto Rico,AGUADILLA,STANDARD
00604,18.49352,-67.135883,AGUADILLA,PR,Puerto Rico,AGUADILLA,STANDARD
00605,18.465162,-67.141486,AGUADILLA,PR,Puerto Rico,AGUADILLA,STANDARD
00606,18.172947,-66.944111,MARICAO,PR,Puerto Rico,MARICAO,STANDARD
00610,18.288685,-67.139696,ANASCO,PR,Puerto Rico,ANASCO,STANDARD
00611,18.279531,-66.80217,ANGELES,PR,Puerto Rico,UTUADO,PO BOX ONLY
00612,18.450674,-66.698262,ARECIBO,PR,Puerto Rico,ARECIBO,STANDARD
00613,18.458093,-66.732732,ARECIBO,PR,Puerto Rico,ARECIBO,STANDARD
00614,18.429675,-66.674506,ARECIBO,PR,Puerto Rico,ARECIBO,STANDARD
00616,18.444792,-66.640678,BAJADERO,PR,Puerto Rico,ARECIBO,STANDARD
00617,18.447092,-66.544255,BARCELONETA,PR,Puerto Rico,BARCELONETA,STANDARD
00622,17.998531,-67.187318,BOQUERON,PR,Puerto Rico,CABO ROJO,STANDARD
00623,18.062201,-67.149541,CABO ROJO,PR,Puerto Rico,CABO ROJO,STANDARD
00624,18.023535,-66.726156,PENUELAS,PR,Puerto Rico,PENUELAS,STANDARD
00627,18.477891,-66.85477,CAMUY,PR,Puerto Rico,CAMUY,STANDARD
00631,18.269187,-66.864993,CASTANER,PR,Puerto Rico,LARES,STANDARD
00636,18.113284,-67.039706,ROSARIO,PR,Puerto Rico,SAN GERMAN,STANDARD
00637,18.087322,-66.934911,SABANA GRANDE,PR,Puerto Rico,SABANA GRANDE,STANDARD
00638,18.33616,-66.472087,CIALES,PR,Puerto Rico,CIALES,STANDARD
00641,18.250027,-66.698957,UTUADO,PR,Puerto Rico,UTUADO,STANDARD
00646,18.43606,-66.281954,DORADO,PR,Puerto Rico,DORADO,STANDARD
00647,17.969594,-66.939754,ENSENADA,PR,Puerto Rico,GUANICA,STANDARD
00650,18.360125,-66.562311,FLORIDA,PR,Puerto Rico,FLORIDA,STANDARD
00652,18.457254,-66.603358,GARROCHALES,PR,Puerto Rico,ARECIBO,STANDARD
00653,17.972468,-66.898661,GUANICA,PR,Puerto Rico,GUANICA,STANDARD
00656,18.02328,-66.786909,GUAYANILLA,PR,Puerto Rico,GUAYANILLA,STANDARD
